Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Change_Point_pvalue,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
Region x Season,Arctic,Spring,Nevents,0.0596546774662612,0.118442463736809,2002,0.0145555975397895,-0.0869276050850459,0.138966893956733,-0.13880953664277101,0.284321714008018,1.5968406872243432
Region x Season,Arctic,Spring,Mean_Intensity,0.05541868045956701,0.0320380247845667,1989,1,0.11530253274556101,0.536186771900174,0.0028220461507872303,0.98763774198715,0.02447514450540875
Region x Season,Arctic,Spring,Maximum_Intensity,0.0944041451622982,0.00686705545278083,1989,0.0229596384734092,0.157625318981887,0.71052302291648906,0.0247806691138695,0.566446141766224,0.15721249145714394
Region x Season,Arctic,Spring,Cumulative_Intensity,2.45774803696077,7.79728720795797e-7,2002,5.11870723406465e-5,0.30098154661171,0.215688695591323,3.70150188970704,0.0555929748188698,12.298102429788727
Region x Season,Temperate Northern Atlantic,Summer,Number_MHW_days,4.859591349718889,1.70560983445293e-8,2001,5.18938428672301e-6,1.78037812138202,0.0855148056305152,4.8464880295043,0.0274979604216283,2.7221678200259
Region x Season,Temperate Northern Atlantic,Summer,Nevents,0.348290276458968,1.95225447950235e-8,2001,5.18938428672301e-6,0.143446787378715,0.0644110132528098,0.319279547711819,0.043053172753608,2.2257699426121444
Region x Season,Temperate Northern Atlantic,Summer,Mean_Intensity,0.0619560234320254,0.0084556496321261,2001,0.0075444409656945,-0.0379880022773557,0.581254760411818,0.0153560384788458,0.650581986958389,-0.40423390434509354
Region x Season,Temperate Northern Atlantic,Summer,Maximum_Intensity,0.196188660170304,5.54145438235523e-5,2001,7.87573142815474e-5,-0.0296732267767153,0.770287726473667,0.14259043379307199,0.1941266858781,-4.805356521083284
Region x Season,Temperate Northern Atlantic,Summer,Cumulative_Intensity,10.6520933933006,2.55365030543137e-8,2001,5.95031597916844e-6,4.31165694404566,0.0855148056305152,11.2815703528645,0.0371976937291238,2.6165278219651027
Region x Season,Temperate Northern Atlantic,Autumn,Number_MHW_days,5.73498367321425,6.14369770441254e-10,1998,3.93834820092435e-6,1.7459971841131599,0.108161354779969,9.288092958934659,0.0011565816777279,5.319649449292976
Region x Season,Temperate Northern Atlantic,Autumn,Nevents,0.34224375975464705,2.62181348493538e-9,1998,3.42717739956043e-6,0.0820211628084651,0.26605176012296,0.371473844743384,0.00193161353576358,4.528999980295885
Region x Season,Temperate Northern Atlantic,Autumn,Mean_Intensity,0.007878696812963,0.552376505263504,2011,0.406361811042209,-0.021387994267749698,0.253526359301579,-0.0205045827718224,0.755496874928883,0.9586959167433776
