Scale,Region_Name,Season_Name,Metrics,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue,lm_slope,Sens_Slope_pre,P_Value_pre,Sens_Slope_post,P_Value_post,Trend_Decadal,Trend_Decadal_lm,Trend_Decadal_pre,Trend_Decadal_post
Region x Season,Temperate Northern Atlantic,Autumn,Cumulative_Intensity,0.978021321,4.57E-10,1998,3.94E-06,1.193657587,0.241122294,0.149,1.727326108,0.0006,9.780,11.93657587,2.411,17.273
Region x Season,Temperate Northern Atlantic,Winter,Number_MHW_days,0.457828804,7.12E-10,2001,22,0.496554882,0.184671144,0.018,0.681397684,0.0023,4.578,4.965548818,1.847,6.814
Region x Season,Temperate Northern Atlantic,Winter,Nevents,0.034238674,1.48E-09,2001,4.22E-06,0.033466912,0.015091367,0.018,0.034189708,0.0103,0.342,0.334669115,0.151,0.342
Region x Season,Temperate Northern Atlantic,Winter,Mean_Intensity,-0.0011563,0.649547898,1993,0.269747902,-0.002990137,0.011409417,0.732,0.004335655,0.1709,-0.012,-0.029901366,0.114,0.043
Region x Season,Temperate Northern Atlantic,Winter,Maximum_Intensity,0.004504235,0.204097893,2009,0.084490083,0.002566699,-0.006744983,0.072,0.020363655,0.1272,0.045,0.025666994,-0.067,0.204
Region x Season,Temperate Northern Atlantic,Winter,Cumulative_Intensity,0.706465571,5.30E-10,2004,8.93E-06,0.820850834,0.309049381,0.002,1.322038273,0.0153,7.065,8.208508339,3.090,13.220
Region x Season,Temperate Northern Atlantic,Spring,Number_MHW_days,0.385833293,4.34E-08,2001,4.24E-05,0.401689282,0.197055549,0.098,0.529589952,0.0072,3.858,4.016892822,1.971,5.296
Region x Season,Temperate Northern Atlantic,Spring,Nevents,0.029021408,2.23E-08,1997,2.55E-05,0.02972578,0.006357438,0.499,0.024790885,0.0019,0.290,0.297257795,0.064,0.248
Region x Season,Temperate Northern Atlantic,Spring,Mean_Intensity,-0.002477185,0.31631607,1994,0.160860351,-0.004298043,0.002652872,0.951,0.004033399,0.2133,-0.025,-0.042980433,0.027,0.040
Region x Season,Temperate Northern Atlantic,Spring,Maximum_Intensity,0.003177935,0.375866139,2006,0.096666636,0.003514505,-0.019265015,0.023,0.003671117,0.9641,0.032,0.035145051,-0.193,0.037
Region x Season,Temperate Northern Atlantic,Spring,Cumulative_Intensity,0.649275641,3.81E-08,1998,5.79E-05,0.709582295,0.126457997,0.303,0.913432404,0.0027,6.493,7.095822951,1.265,9.134
Region x Season,Temperate Northern Pacific,Summer,Number_MHW_days,0.483666895,2.51E-06,2003,6.27E-04,0.574659249,0.208810433,0.048,0.921780192,0.0931,4.837,5.746592487,2.088,9.218
Region x Season,Temperate Northern Pacific,Summer,Nevents,0.035234967,3.15E-06,2003,6.99E-04,0.035581974,0.022017246,0.063,0.041242578,0.0802,0.352,0.355819737,0.220,0.412
Region x Season,Temperate Northern Pacific,Summer,Mean_Intensity,0.006697921,0.00165524,2005,8.66E-04,0.007660644,-0.001657939,0.637,0.00386823,0.5923,0.067,0.076606442,-0.017,0.039
Region x Season,Temperate Northern Pacific,Summer,Maximum_Intensity,0.020499323,1.31E-05,2003,2.25E-05,0.022249812,-0.006773696,0.573,0.027921649,0.0358,0.205,0.222498124,-0.068,0.279
Region x Season,Temperate Northern Pacific,Summer,Cumulative_Intensity,1.124664373,1.25E-06,2003,4.04E-04,1.378632896,0.431822613,0.055,2.378922578,0.0501,11.247,13.78632896,4.318,23.789
Region x Season,Temperate Northern Pacific,Autumn,Number_MHW_days,0.42232617,9.34E-07,2002,2.04E-04,0.543774188,0.116058034,0.319,1.043463362,0.0039,4.223,5.437741881,1.161,10.435
Region x Season,Temperate Northern Pacific,Autumn,Nevents,0.025639914,3.77E-07,2002,1.52E-04,0.025359396,0.010872561,0.239,0.03939924,0.0026,0.256,0.253593959,0.109,0.394
