Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
Region x Season,Temperate Australasia,Spring,Nevents,0.185,0.001469032,1997,-0.091,0.3,0.108,0.4691,-1.1868131868131868
Region x Season,Temperate Australasia,Spring,Mean_Intensity,0.014,0.289033543,2006,-0.052,0.034,0.053,0.3923,-1.0192307692307692
Region x Season,Temperate Australasia,Spring,Maximum_Intensity,0.064,0.03112731,2006,-0.043,0.252,0.066,0.6204,-1.5348837209302328
Region x Season,Temperate Australasia,Spring,Cumulative_Intensity,3.938,5.88e-4,1997,-1.353,0.224,4.077,0.1831,-3.0133037694013303
Region x Season,Southern Ocean,Summer,Number_MHW_days,-0.924,0.015875547,1997,0.32,0.964,-1.072,0.2723,-3.35
Region x Season,Southern Ocean,Summer,Nevents,-0.094,6.41e-4,1993,0.14,0.451,-0.086,0.0747,-0.6142857142857142
Region x Season,Southern Ocean,Summer,Mean_Intensity,0.01,0.435026428,2016,-0.015,0.14,0.202,0.7071,-13.466666666666669
Region x Season,Southern Ocean,Summer,Maximum_Intensity,0.007,0.717963344,2016,-0.045,0.057,0.391,0.7071,-8.68888888888889
Region x Season,Southern Ocean,Summer,Cumulative_Intensity,-0.888,0.054552843,1993,4.009,0.244,-0.547,0.5609,-0.13644300324270392
Region x Season,Southern Ocean,Autumn,Number_MHW_days,-0.591,0.059080245,1995,0.357,0.827,-0.258,0.8025,-0.7226890756302522
Region x Season,Southern Ocean,Autumn,Nevents,-0.076,0.002179335,1994,0.035,0.541,-0.042,0.2951,-1.2
Region x Season,Southern Ocean,Autumn,Mean_Intensity,0.078,4.33e-4,2005,-0.038,0.107,0.211,0.0058,-5.552631578947368
Region x Season,Southern Ocean,Autumn,Maximum_Intensity,0.104,7.27e-4,2005,-0.074,0.078,0.296,0.002,-4
Region x Season,Southern Ocean,Autumn,Cumulative_Intensity,0.187,0.470040488,2008,-0.591,0.033,0.659,0.5841,-1.1150592216582065
Region x Season,Southern Ocean,Winter,Number_MHW_days,-1.591,3.04e-4,2006,-0.299,0.591,1.078,0.3923,-3.605351170568562
Region x Season,Southern Ocean,Winter,Nevents,-0.14,3.71e-5,2005,-0.018,0.673,-0.03,0.6505,1.6666666666666667
Region x Season,Southern Ocean,Winter,Mean_Intensity,0.111,1.1e-4,2005,-0.028,0.087,0.218,0.0529,-7.785714285714286
Region x Season,Southern Ocean,Winter,Maximum_Intensity,0.157,1.21e-4,2005,-0.04,0.078,0.302,0.0638,-7.55
Region x Season,Southern Ocean,Winter,Cumulative_Intensity,0.197,0.155164858,2008,-0.285,0.095,0.736,0.3244,-2.5824561403508772
Region x Season,Southern Ocean,Spring,Number_MHW_days,-1.527,5.39e-4,2005,0.774,0.107,-0.964,0.4338,-1.2454780361757105
Region x Season,Southern Ocean,Spring,Nevents,-0.144,1.53e-4,2005,0.053,0.118,-0.087,0.3031,-1.641509433962264
Region x Season,Southern Ocean,Spring,Mean_Intensity,0.143,8.11e-6,2005,-0.024,0.413,0.362,8e-4,-15.083333333333332
Region x Season,Southern Ocean,Spring,Maximum_Intensity,0.197,1.12e-5,2005,-0.036,0.442,0.499,6e-4,-13.861111111111112
Region x Season,Southern Ocean,Spring,Cumulative_Intensity,-0.074,0.666404183,2002,0.485,0.156,0.198,0.6732,0.4082474226804124
