Year,Season,REALM,Metrics,values
1983,Spring,Eastern Indo-Pacific,Number_Events,100
1983,Spring,Southern Ocean,meanCumInt,1.8511658130601794
1983,Spring,Southern Ocean,meanMaxInt,0.1810483994878361
1983,Spring,Southern Ocean,meanDuration,12.642765685019207
1983,Spring,Southern Ocean,Number_Events,781
1983,Spring,Temperate Australasia,meanCumInt,11.362105376344086
1983,Spring,Temperate Australasia,meanMaxInt,1.6181913978494624
1983,Spring,Temperate Australasia,meanDuration,8.881720430107526
1983,Spring,Temperate Australasia,Number_Events,93
1983,Spring,Temperate Northern Atlantic,meanCumInt,15.42962940275651
1983,Spring,Temperate Northern Atlantic,meanMaxInt,2.1595874425727413
1983,Spring,Temperate Northern Atlantic,meanDuration,8.470137825421133
1983,Spring,Temperate Northern Atlantic,Number_Events,653
1983,Spring,Temperate Northern Pacific,meanCumInt,19.913204344122658
1983,Spring,Temperate Northern Pacific,meanMaxInt,1.9877500851788756
1983,Spring,Temperate Northern Pacific,meanDuration,11.93526405451448
1983,Spring,Temperate Northern Pacific,Number_Events,1174
1983,Spring,Temperate South America,meanCumInt,13.722518226600986
1983,Spring,Temperate South America,meanMaxInt,1.749376354679803
1983,Spring,Temperate South America,meanDuration,9.51231527093596
1983,Spring,Temperate South America,Number_Events,203
1983,Spring,Temperate Southern Africa,meanCumInt,12.929672222222223
1983,Spring,Temperate Southern Africa,meanMaxInt,1.8190111111111111
1983,Spring,Temperate Southern Africa,meanDuration,8.5
1983,Spring,Temperate Southern Africa,Number_Events,18
1983,Spring,Tropical Atlantic,meanCumInt,10.820425757575757
1983,Spring,Tropical Atlantic,meanMaxInt,1.696320909090909
1983,Spring,Tropical Atlantic,meanDuration,7.993939393939394
1983,Spring,Tropical Atlantic,Number_Events,330
1983,Spring,Tropical Eastern Pacific,meanCumInt,27.921368214285714
1983,Spring,Tropical Eastern Pacific,meanMaxInt,2.385420357142857
1983,Spring,Tropical Eastern Pacific,meanDuration,14.721428571428572
1983,Spring,Tropical Eastern Pacific,Number_Events,280
1983,Spring,Western Indo-Pacific,meanCumInt,11.505892113564668
1983,Spring,Western Indo-Pacific,meanMaxInt,1.6518028391167192
1983,Spring,Western Indo-Pacific,meanDuration,8.561514195583596
1983,Spring,Western Indo-Pacific,Number_Events,317
1983,Summer,Arctic,meanCumInt,15.751776095360825
1983,Summer,Arctic,meanMaxInt,2.2928654639175257
1983,Summer,Arctic,meanDuration,7.799613402061856
1983,Summer,Arctic,Number_Events,1552
1983,Summer,Central Indo-Pacific,meanCumInt,12.045737291399229
